"","Screen_bg","participant","PROLIFIC_PID","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","id","session","researcher","browser","xResolution","yResolution","PreTargetDisplayTime","preResp.keys","preResp.corr","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisTrialN","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","ResponseKey.keys","ResponseKey.corr","RT_Trials","RT_secondary","firstlearntrials.thisN","Exptrials.thisN","brkcontinue.rt","afterpause.rt","BlockCount","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisN","AwareQ","Performance","ContingencyChkScore","todebrief.rt","ExpExit.rt","preResp.rt","ACC_trials","ErrorRate","Outlier","Farouts","RT_ifo","RT_io"
"8669","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"3",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","invalid","a","bottom","bottom","Kreis",3,"[""a""]",1,840.985000002547,NA,NA,108,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,840.985000002547,840.985000002547
"8670","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,200,NA,0,"2",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","valid","l","bottom","bottom","Kreis",3,"[""l""]",1,897.200000006706,NA,NA,109,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,897.200000006706,897.200000006706
"8671","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"9",NA,NA,NA,NA,"Experiment","Tisch","Stein","learn","valid","a","top","bottom","Stein",3,"[""a""]",1,816.674999994575,NA,NA,110,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,816.674999994575,816.674999994575
"8672","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,300,NA,0,"3",NA,NA,NA,NA,"Experiment","Tisch","Stein","learn","valid","a","top","bottom","Stein",3,"[""a""]",1,699.599999992643,NA,NA,111,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,699.599999992643,699.599999992643
"8673","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"4",NA,NA,NA,NA,"Experiment","Kreis","Kreis","test","valid","l","bottom","nil","salient",3,"[""l""]",1,588.080000001355,NA,NA,112,16.06529,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,588.080000001355,588.080000001355
"8674","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"3",NA,NA,NA,NA,"Experiment","Tisch","Stein","learn","valid","a","bottom","bottom","Stein",3,"[""a""]",1,566.705000004731,NA,NA,113,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,566.705000004731,566.705000004731
"8675","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,300,NA,0,"2",NA,NA,NA,NA,"Experiment","Kreis","Kreis","test","valid","l","bottom","nil","salient",3,"[""l""]",1,493.825000012293,NA,NA,114,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,493.825000012293,493.825000012293
"8676","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,200,NA,0,"4",NA,NA,NA,NA,"Experiment","Stein","Stein","test","invalid","l","bottom","nil","salient",3,"[""l""]",1,606.71999999613,NA,NA,115,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,606.71999999613,606.71999999613
"8677","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"5",NA,NA,NA,NA,"Experiment","Tisch","Tisch","test","valid","a","bottom","nil","nonsalient",3,"[""a""]",1,558.044999997946,NA,NA,116,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,558.044999997946,558.044999997946
"8678","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,150,NA,0,"4",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","valid","l","bottom","bottom","Kreis",3,"[""l""]",1,599.379999999655,NA,NA,117,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,599.379999999655,599.379999999655
"8679","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,150,NA,0,"6",NA,NA,NA,NA,"Experiment","Stein","Stein","test","invalid","l","top","nil","salient",3,"[""l""]",1,565.799999996671,NA,NA,118,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,565.799999996671,565.799999996671
"8680","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"8",NA,NA,NA,NA,"Experiment","Markt","Markt","test","valid","l","top","nil","nonsalient",3,"[""l""]",1,416.584999999031,NA,NA,119,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,416.584999999031,416.584999999031
"8681","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,150,NA,0,"4",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","invalid","l","bottom","top","Stein",3,"[""l""]",1,695.684999998775,NA,NA,120,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,695.684999998775,695.684999998775
"8682","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"2",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","valid","l","top","bottom","Kreis",3,"[""l""]",1,481.289999996079,NA,NA,121,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,481.289999996079,481.289999996079
"8683","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,200,NA,0,"4",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","valid","l","bottom","bottom","Kreis",3,"[""l""]",1,546.019999994314,NA,NA,122,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,546.019999994314,546.019999994314
"8684","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"3",NA,NA,NA,NA,"Experiment","Kreis","Kreis","test","invalid","a","bottom","nil","salient",3,"[""a""]",1,540.229999998701,NA,NA,123,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,540.229999998701,540.229999998701
"8685","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,300,NA,0,"4",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","valid","l","top","bottom","Kreis",3,"[""l""]",1,482.264999998733,NA,NA,124,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,482.264999998733,482.264999998733
"8686","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,150,NA,0,"3",NA,NA,NA,NA,"Experiment","Markt","Markt","test","invalid","a","top","nil","nonsalient",3,"[""a""]",1,564.799999992829,NA,NA,125,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,564.799999992829,564.799999992829
"8687","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"5",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","top","top","Stein",3,"[""l"",""a""]",0,NA,"0.7930199999973411]",NA,126,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1025.14499998506,1291.56749997492,NA,NA
"8688","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,150,NA,0,"9",NA,NA,NA,NA,"Experiment","Kreis","Kreis","test","invalid","a","bottom","nil","salient",3,"[""a""]",1,625.765000004321,NA,NA,127,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,625.765000004321,625.765000004321
"8689","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"6",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","valid","l","top","bottom","Kreis",3,"[""l""]",1,499.419999992824,NA,NA,128,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,499.419999992824,499.419999992824
"8690","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"3",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","top","top","Stein",3,"[""a""]",1,541.19499999797,NA,NA,129,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,541.19499999797,541.19499999797
"8691","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,300,NA,0,"2",NA,NA,NA,NA,"Experiment","Stein","Stein","test","invalid","l","top","nil","salient",3,"[""l""]",1,507.83999999112,NA,NA,130,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,507.83999999112,507.83999999112
